"id","user_id","unix_in_ms","ibi"
39911532,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169672438,810
39911531,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169671576,862
39911530,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169670768,808
39911529,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169668914,782
39911528,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169667967,809
39911527,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169666184,781
39911526,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169665567,617
39911525,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169664857,710
39911524,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169664096,761
39911523,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169663335,761
39911522,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169662565,767
39911521,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169661797,768
39911520,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169661069,728
39911519,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169660392,677
39911518,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169659755,637
39911517,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169659028,725
39911516,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169658270,758
39911515,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169657508,762
39911514,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169656153,799
39911513,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169655303,850
39911512,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169654549,754
39911511,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169653808,741
39911510,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169653103,705
39911509,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169651460,644
39911508,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169650779,681
39911507,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169650043,736
39911506,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169649264,779
39911505,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169648351,913
39911504,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169647513,835
39911503,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169646737,776
39911502,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169645980,757
39911501,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169645240,740
39911500,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169644534,706
39911499,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169642586,697
39911498,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169641891,695
39911497,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169641186,705
39911496,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169640031,724
39911495,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169639295,736
39911494,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169638546,749
39911493,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169637784,762
39911492,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169637010,774
39911491,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169633321,758
39911490,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169632545,776
39911489,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169631748,797
39911488,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169630912,836
39911487,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169630090,822
39911486,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169629291,798
39911485,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169628474,817
39911484,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169627647,827
39911483,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169626896,751
39911482,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169626128,768
39911481,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169624360,719
39911480,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169623605,755
39911479,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169622824,781
39911478,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169622038,786
39911477,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169621253,781
39911476,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169620476,777
39911475,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169619691,785
39911474,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169618896,795
39911473,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169618099,797
39911472,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169616336,764
39911471,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169615679,657
39911470,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169615028,651
39911469,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169614192,836
39911468,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169612559,828
39911467,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169611733,826
39911466,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169610911,822
39911465,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169610096,815
39911464,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169609292,804
39911463,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169608482,803
39911462,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637169607678,804
