"id","user_id","unix_in_ms","ibi"
38028871,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168347546,646
38028870,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168342566,618
38028869,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168341979,587
38028868,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168341427,552
38028867,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168340904,523
38028866,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168340390,514
38028865,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168339885,503
38028864,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168339367,518
38028863,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168338857,510
38028862,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168338352,505
38028861,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168337853,499
38028860,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168337360,491
38028859,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168336848,512
38028858,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168336332,516
38028857,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168335792,540
38028856,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168335245,547
38028855,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168334709,535
38028854,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168334175,534
38028853,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168333643,532
38028852,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168333112,531
38028851,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168332584,528
38028850,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168332057,524
38028849,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168331549,508
38028848,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168331044,505
38028847,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168330544,500
38028846,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168330047,497
38028845,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168329549,492
38028844,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168329063,486
38028843,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168328583,480
38028842,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168328104,479
38028841,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168327624,480
38028840,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168327133,488
38028839,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168326630,503
38028838,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168326115,515
38028837,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168325592,523
38028836,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168325060,532
38028835,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168324531,524
38028834,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168324012,519
38028833,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168323494,518
38028832,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168322976,518
38028831,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168322455,521
38028830,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168321930,523
38028829,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168321405,525
38028828,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168320885,520
38028827,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168320360,525
38028826,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168319827,533
38028825,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168319285,536
38028824,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168318750,535
38028823,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168318208,542
38028822,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168317656,552
38028821,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168316482,591
38028820,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168315897,585
38028819,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168315329,568
38028818,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168314768,561
38028817,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168313683,541
38028816,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168313158,525
38028815,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168312651,507
38028814,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168312160,491
38028813,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168311671,489
38028812,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168311169,491
38028811,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168310666,503
38028810,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168310156,510
38028809,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168309640,516
38028808,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168309118,522
38028807,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168308588,529
38028806,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168308054,534
38028805,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168307514,540
38028804,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168306976,538
38028803,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168306444,532
38028802,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168304362,537
38028801,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168303841,521
38028800,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168303293,548
38028799,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168302776,517
38028798,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168301734,519
38028797,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168301247,487
38028796,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168300733,514
38028795,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168300216,517
38028794,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168299707,509
38028793,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1637168299198,498
