"id","user_id","unix_in_ms","ibi"
185019278,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554920464,868
185019277,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554919600,864
185019276,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554918735,865
185019275,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554916872,859
185019274,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554916026,846
185019273,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554915188,838
185019272,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554914362,826
185019271,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554913558,804
185019270,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554912760,796
185019269,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554911953,807
185019268,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554911122,831
185019267,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554909532,890
185019266,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554908640,892
185019265,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554907745,895
185019264,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554906850,895
185019263,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554905944,906
185019262,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554904021,920
185019261,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554903071,950
185019260,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554902095,976
185019259,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554901122,973
185019258,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554900147,975
185019257,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554899174,970
185019256,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554898216,958
185019255,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554897261,955
185019254,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554896284,977
185019253,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554895274,1010
185019252,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554894232,1040
185019251,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554893180,1052
185019250,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554892203,977
185019249,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554890446,903
185019248,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554889558,888
185019247,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554888707,851
185019246,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554887858,849
185019245,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554886995,863
185019244,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554886111,883
185019243,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554885208,903
185019242,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554884306,902
185019241,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554883542,764
185019240,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554882547,995
185019239,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554880624,921
185019238,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554879750,874
185019237,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554878920,830
185019236,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554877421,882
185019235,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554876545,876
185019234,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554875696,849
185019233,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554874856,840
185019232,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554873995,861
185019231,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554872125,870
185019230,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554871233,892
185019229,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554870300,933
185019228,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554868504,924
185019227,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554867589,915
185019226,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554866683,906
185019225,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554865792,891
185019224,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554864920,872
185019223,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554863040,878
185019222,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554862144,896
185019221,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554861233,911
185019220,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554860280,953
185019219,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554859289,991
185019218,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554858276,1010
185019217,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554857263,1013
185019216,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554856242,1021
185019215,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554855226,1016
185019214,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554854237,989
185019213,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554853255,979
185019212,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554852235,1020
185019211,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554851183,1052
185019210,"a502b54f-5ad0-4e5a-8399-d1e257aa1ec1",1643554849158,1048
