"id","userid","time","ibi"
96668167,"44a31946-60f2-4da3-9edf-a1c278288579",1640795285277,889
96668166,"44a31946-60f2-4da3-9edf-a1c278288579",1640795284376,795
96668165,"44a31946-60f2-4da3-9edf-a1c278288579",1640795283566,879
96668164,"44a31946-60f2-4da3-9edf-a1c278288579",1640795282756,857
96668163,"44a31946-60f2-4da3-9edf-a1c278288579",1640795281856,864
96668162,"44a31946-60f2-4da3-9edf-a1c278288579",1640795281046,843
96668161,"44a31946-60f2-4da3-9edf-a1c278288579",1640795280146,796
96668160,"44a31946-60f2-4da3-9edf-a1c278288579",1640795279336,881
96668159,"44a31946-60f2-4da3-9edf-a1c278288579",1640795278437,824
96668158,"44a31946-60f2-4da3-9edf-a1c278288579",1640795277630,822
96668157,"44a31946-60f2-4da3-9edf-a1c278288579",1640795276816,828
96668156,"44a31946-60f2-4da3-9edf-a1c278288579",1640795276006,851
96668155,"44a31946-60f2-4da3-9edf-a1c278288579",1640795275106,772
96668154,"44a31946-60f2-4da3-9edf-a1c278288579",1640795274386,874
96668153,"44a31946-60f2-4da3-9edf-a1c278288579",1640795273486,724
96668152,"44a31946-60f2-4da3-9edf-a1c278288579",1640795272765,844
96668151,"44a31946-60f2-4da3-9edf-a1c278288579",1640795271866,825
96668150,"44a31946-60f2-4da3-9edf-a1c278288579",1640795271145,827
96668149,"44a31946-60f2-4da3-9edf-a1c278288579",1640795270245,772
96668148,"44a31946-60f2-4da3-9edf-a1c278288579",1640795269435,824
96668147,"44a31946-60f2-4da3-9edf-a1c278288579",1640795268627,809
96668146,"44a31946-60f2-4da3-9edf-a1c278288579",1640795267906,745
96668145,"44a31946-60f2-4da3-9edf-a1c278288579",1640795267096,763
96668144,"44a31946-60f2-4da3-9edf-a1c278288579",1640795266286,758
96668143,"44a31946-60f2-4da3-9edf-a1c278288579",1640795265566,795
96668142,"44a31946-60f2-4da3-9edf-a1c278288579",1640795264846,735
96668141,"44a31946-60f2-4da3-9edf-a1c278288579",1640795264036,781
96668140,"44a31946-60f2-4da3-9edf-a1c278288579",1640795263316,773
96668139,"44a31946-60f2-4da3-9edf-a1c278288579",1640795262416,806
